tweets,quote_status,language,favorite_count,retweet_count,time,id
/ fuck straight ships JARCHIE all the way.,False,en,3,0,2021-02-27 04:41:40,1365522464772603904
"y’all i don’t hate jarchie i think they have potential and i think jughead’s had feelings for archie. but my god... some of their shippers pissed me off so bad, like why do y’all sound like bugheads you’re supposed to be smarter https://t.co/K60rfnKaip",False,en,2,0,2021-02-27 04:28:26,1365519132758847489
"@EPoe187 I think ""power"" is the underlying factor. In some societies wealth and power are interchangeable. In others there is power money can't buy (family). And in all there are powers that are innate: beauty, intelligence, or other inborn attributes.",False,en,1,0,2021-02-27 01:37:49,1365476197400866819
@chonistan420 @chonifag omg when i come visit and we role play jarchie in a perfect location omg so excited,False,en,2,0,2021-02-27 01:12:36,1365469850500550658
RT @bugverchoni: jarchie riding bikes. that’s all. https://t.co/fSRQzyxTm4,False,en,0,28,2021-02-27 00:23:46,1365457561034641412
@riverindale listen choni swangs jarchie triple wedding tho 😭😭😭😭,False,en,3,0,2021-02-26 23:34:47,1365445236781166594
"@EPoe187 @BadHombreMarcoB And unnecessary. Why not ""Hey, we're not sure what measure of protection is provided by masks yet, but we have a PPE shortage and need to come together to make those available to healthcare workers and the elderly/vulnerable until the supply crunch is addressed. ""?",False,en,0,0,2021-02-26 23:30:12,1365444080793047043
@ChrchCurmudgeon This is the quality content I come to this website for!,False,en,0,0,2021-02-26 23:27:59,1365443522078208003
@nymonologue s1 was great for jarchie but i was toni deprived so,False,en,1,0,2021-02-26 23:16:25,1365440613714427910
@aphclicn BC I SAID JARCHIE COULD DO CHILDHOOD FRIENDS TO LOVERS BETTER THAN BARCHIE AND BARCHIES WENT CRAZY 😭 sorry guys betty might be having sex w/ archie but jughead literally lived in archie's house all alone with no gas or electricity bc it was the only place that felt like home ..,False,en,1,0,2021-02-26 20:57:48,1365405730677923840
yes i was a jarchie and beronica shipper and what about it,False,en,1,0,2021-02-26 20:53:03,1365404535074643968
@nymonologue BHS WISH THEY HAD SOMETHING AS GOOD FOR THEIR SHIP AS ENDURING YET MORE COMPLEX LIKE JUST ADMIT Y’ALL WILL NEVER AMOUNT TO JARCHIE’S RELATIONSHIP AND LEAVE!!!,False,en,1,0,2021-02-26 19:54:37,1365389829035360257
@swangsnation the set designer is a jarchie love it here,False,en,3,0,2021-02-26 18:57:54,1365375553524674573
@TABlTHATATE this is JARCHIE,False,en,0,0,2021-02-26 18:39:58,1365371043620089857
@archiesbettyy I read jarchie for a moment and spilled my coffee 😂,False,en,0,0,2021-02-26 17:58:22,1365360575367188480
oh jarchie love story we're really in it now........,False,en,2,0,2021-02-26 16:59:45,1365345822678913025
god damn it. I AM SUCH A JARCHIE STAN https://t.co/Rj8E9FCCtu,False,en,2,0,2021-02-26 16:16:03,1365334822487543812
jarchie endgame confirmed??? https://t.co/sg4bO8yUOH,False,en,1,0,2021-02-26 15:55:11,1365329572951175168
@bugverchoni OMG U R JARCHIE ??,False,en,0,0,2021-02-26 15:21:55,1365321201799806976
"RT @kat__writes: #Varchie? #Barchie? #Tabihead (Or is it #Jugitha?)? 

Where #Riverdale romance will go, no one knows, but I’m still reelin…",False,en,0,6,2021-02-26 14:45:56,1365312146846982146
"@jugxc and i didnt need it esp when u comment on all of my jarchie tweets , run along now",False,en,1,0,2021-02-26 14:23:35,1365306521039613955
See Jarchie endgame🕺🏻 https://t.co/kzRB8314YH,False,en,0,0,2021-02-26 14:01:47,1365301033333841931
they said ****jarchie endgame 😐,False,en,0,0,2021-02-26 11:20:18,1365260396333068288
@tyreseee_ riverdale is a great show if u watch it the right way [ jarchie long con and sexy women ] wandavision is a great show if u watch it the right way [ kathryn hahn ],False,en,0,0,2021-02-26 08:01:13,1365210295526809600
swangs and jarchie and robron ping ponging around in my brain 🧠,False,en,5,0,2021-02-26 07:02:21,1365195480943198213
#Jarchie in an empty house works tho. Like a lot.,False,en,0,0,2021-02-26 06:25:14,1365186138584076289
gladys maior shipper de jarchie,False,en,0,0,2021-02-26 04:50:27,1365162287498166273
RT @lilisjacey: jarchie roommates lasted a total of 1 episode this is so sad,False,en,0,3,2021-02-26 04:45:25,1365161019631407106
they OPENED with domestic jarchie losing my mind,False,en,0,0,2021-02-26 04:31:44,1365157578045616130
@forsytheandrews didn’t he say something similar to that about the jarchie scene in the graduation episode?,False,en,1,0,2021-02-26 04:17:20,1365153953973895168
@riverindale i believe in it as much as i believe in jarchie longcon,False,en,0,0,2021-02-26 04:13:57,1365153101905162240
who has jarchie in the bunker tunnel gif,False,en,1,0,2021-02-26 04:02:19,1365150174524432384
@reddiephobic LAURIE IS A JARCHIE,False,en,2,0,2021-02-26 03:55:49,1365148539983118337
remembering how i used to insistently call jarchie archead. what a time. should we bring that back,False,en,2,0,2021-02-26 03:31:46,1365142487610851331
"@swangsnation The layers to the editing of this song, beronica, Jarchie, swangs. Crazy for this",False,en,2,0,2021-02-26 03:11:38,1365137419415130113
@rcnniekins they don’t believe in jarchie longcon😔,False,en,3,0,2021-02-26 03:05:31,1365135879765962753
@itssjughead Jarchie is real,False,en,0,0,2021-02-26 03:04:00,1365135498432372736
@milfyswift THE JACTING JOICES (jarchie acting choices and jordan connor acting choices),False,en,2,0,2021-02-26 02:50:36,1365132124265840640
@jugheadology @chonistan420 @blossomsvoid omg.... no more jarchie fanfic guys go home,False,en,3,0,2021-02-26 02:41:14,1365129769784930307
@jugheadology @riverindale when ur the only literate mf in the jarchie community... we r pleading,False,en,2,0,2021-02-26 02:36:22,1365128545064861706
"@bartsytruther they saw one clip of riverdale and decided thats all the show is, they dont understand the emotional complexity that is the riverdale jarchie romcom",False,en,1,0,2021-02-26 02:33:41,1365127867991027714
@casachillean they didn’t understand the jarchie longcon!,False,en,1,0,2021-02-26 02:32:06,1365127471369052164
"@bartsytruther they dont know about the art of jarchie clearly, 1/2 their otp is a cop",False,en,1,0,2021-02-26 02:31:25,1365127298953920514
"I still don’t get why you don’t like barchie but you like jarchie now though? — if you want people to join your fandom so bad, be funnier. i probably wouldn’t like jarchie as much if ari wasn’t so funny!  https://t.co/mcOVMiIT5J",False,en,14,0,2021-02-26 02:22:20,1365125012580089860
RT @riverindale: me and my jarchie mutuals when we start unionizing https://t.co/hxWcKw294c,False,en,0,3,2021-02-26 01:58:48,1365119092345208832
me and my jarchie mutuals when we start unionizing https://t.co/hxWcKw294c,False,en,16,3,2021-02-26 01:52:56,1365117612221464578
"Ok jarchie rights ""my sweet prince"" gay as hell",False,en,2,0,2021-02-26 01:25:30,1365110711484047362
@milfyswift NO BC THE WAY JARCHIE COULD. how are they finding these tweets like i saw them before and like anyone who says anything less than positive abt ba it’s their time to attack like it’s a white cishet ship stop defending it with your life. there’s like 10 of the same copy 😭😭😭,False,en,1,0,2021-02-26 01:24:51,1365110545448390656
@saintopacio I DONT KNOW the funny part is that this started also from a tweet i made saying that jarchie can serve childhood friends to lovers better and barchies got SO heated op was the first to quote me too like ??? are you a fan.. the way idc about fanwars i dont even know these ppl 😭,False,en,1,0,2021-02-26 01:18:56,1365109056965328896
@milfyswift @chonifag as usual the choni/jarchie/swangs side are being REASONABLE unlike everyone else 🤓,False,en,3,0,2021-02-26 01:17:48,1365108770477662208
This tweet is for a very targeted audience but imagine a jarchie komahina au where jughead gets the despair/liar disease and tells archie he wants nothing to do with him and archie fucking leaves,False,en,2,0,2021-02-26 00:55:11,1365103081344630786
@emilybrontes call me when they do the jarchie new york monologue on eastenders,False,en,2,0,2021-02-26 00:43:31,1365100143083626504
"@cherubliv this is my truth: liv watches riverdale every week, aaron doesnt “watch it”but he stands in the living room, beer in hand, when it’s on he doesn’t comment on it but he knows jarchie is real",False,en,1,0,2021-02-26 00:34:06,1365097773599629313
@emilybrontes maybe if they understood the jarchie longcon 🤣,False,en,1,0,2021-02-26 00:30:32,1365096877482405894
"@choniwillows jarchie would be my endgame if they had any chance of happening but if they ever did, you know damn well i’ll be in their corner",False,en,0,0,2021-02-25 23:52:35,1365087327920480262
@shslluck oh thank jughead i wasnt sure if RAS was ending the ep on jarchie turbohell to be a bitch as we all wait til july to find out what happene to them,False,en,1,0,2021-02-25 23:46:43,1365085849738567683
why r straight rvd fans always arguing abt ships JARCHIE ALMOST DIED???,False,en,1,0,2021-02-25 23:43:40,1365085083741298688
THE END OF 5X06... JARCHIE GOES TO TURBOHELL??!,False,en,2,0,2021-02-25 23:35:19,1365082981459587077
what the heck this domestic jarchie moment,False,en,3,0,2021-02-25 22:39:54,1365069034472042503
@rcnniekins the jarchie varchie solidarity is real https://t.co/iHxqmWiO7S,False,en,2,0,2021-02-25 19:57:47,1365028238259609603
my jarchie moots literally always on another plane of existence sorry het-shippers y’all can never and will never reach them,False,en,26,0,2021-02-25 19:52:59,1365027028550840320
Gladys jarchie shipper hermosa beronica shipper😍,False,en,0,0,2021-02-25 19:22:23,1365019327901138944
"RT @mcbelz: ICYMI Facebook COO Sheryl Sandberg, self-described 'friend to many women' and #leanin pro, OK'd blocking the YPG/YPJ on FB in T…",True,en,0,7,2021-02-25 19:06:11,1365015250345467905
bughead* jarchie was cute but varchie or whatever it’s called ain’t it https://t.co/mWAGUCEore,True,en,1,0,2021-02-25 18:38:10,1365008202006462465
this episode said jarchie rights,False,en,0,0,2021-02-25 18:38:00,1365008161367801861
@riverindale the stoner jarchie fic i have sitting in my drafts is typing...,False,en,3,0,2021-02-25 18:31:26,1365006506517663745
OMG ARCHIE’S HOUSE IS ON FIRE 😭 Jarchie together in a house fire 😭 #riverdale,False,en,0,0,2021-02-25 18:17:22,1365002965451440130
@RiverdaleDark do you think britta will be involved in the mysteries somehow? also love the podcast pls say jarchie endgame,False,en,3,0,2021-02-25 18:15:16,1365002439305416705
THE END WHO IS TRYNA BURN JARCHIE ????????? i love this show,False,en,1,0,2021-02-25 17:50:56,1364996314895839235
"@jarchie Thanks.

The consensus seems to be that I need a secretary.",False,en,2,0,2021-02-25 16:52:25,1364981588946280450
i still can’t believe jarchie roommates happened,False,en,0,0,2021-02-25 16:47:35,1364980370790350849
"JARCHIE ROOMATES WHO ARE ALSO BFS ERA!!!! ""GOOD NIGHG MY SWEET PRINCE"" ARE U KIDDINH MEEEE",False,en,0,0,2021-02-25 16:46:27,1364980088396255234
30 seconds in and Jarchie slays b*ghead and b*rchie chemistry 🔥,False,en,0,0,2021-02-25 16:45:11,1364979766831550470
GOODNIGHT MY SWEET PRINCE!! Oh my god this Jarchie scene is so f domestic. Shut up!!! #riverdale,False,en,1,0,2021-02-25 16:44:21,1364979560530538497
"@kat__writes YES, the #Jarchie! 😊",False,en,1,0,2021-02-25 16:29:17,1364975766014857216
"@DeanAbbott Space those tasks out between other tasks.  When possible, partner with those who are good at fine details but need your strengths. Give yourself grace.  Don't give up on getting better, but be realistic.",False,en,1,0,2021-02-25 16:11:56,1364971400981700608
RT @timkellernyc: Tolerance can't include hating people you think are intolerant. It's about how your beliefs lead you to treat those peopl…,False,en,0,389,2021-02-25 16:03:49,1364969356082311168
@emstopaz if it is thought enough it def could be connected to jarchie,False,en,1,0,2021-02-25 16:02:35,1364969047167746056
"#Varchie? #Barchie? #Tabihead (Or is it #Jugitha?)? 

Where #Riverdale romance will go, no one knows, but I’m still reeling over all those #Jarchie scenes they gave us last night.

Let’s go “Back To School” — here’s my review! https://t.co/YDCDOgXKNK",False,en,27,6,2021-02-25 15:59:12,1364968196500058114
WHAT are this parallels between jarchie and a MARRIED gay couple,False,en,0,0,2021-02-25 15:44:27,1364964486130589704
RT @heather__cat: 53 seconds into new riverdale I text Hailey “I think the jarchie longcon might be back on” let’s see how this goes wrong…,False,en,0,1,2021-02-25 15:43:06,1364964144252878850
53 seconds into new riverdale I text Hailey “I think the jarchie longcon might be back on” let’s see how this goes wrong for me,False,en,2,1,2021-02-25 15:02:00,1364953803192213511
"#Riverdale 
As for #kangs ADORABLE 💗
#kevin and #betty friendship is 🥺💗
#alice i hope she finds happiness soon
I want #polly to return
#jarchie- supportive 
I didn’t like the andrews house burnin down like that 😭 
And hiram and chad are ugh 🤦🏻‍♀️ 
Reggie is 👀👩🏻‍🦯",False,en,1,0,2021-02-25 14:38:45,1364947948669460488
RT @barchiejarchie: When jughead and archie die in the fire and jarchie gets afterlife endgame then what,False,en,0,3,2021-02-25 14:20:14,1364943291322675200
@shslluck Goood jarchie morning soren ^_^,False,en,1,0,2021-02-25 14:05:33,1364939595306131461
Good jarchie morning everyone,False,en,18,0,2021-02-25 14:02:45,1364938891892031488
i will sleep well tonight thinking of jarchie,False,en,0,0,2021-02-25 13:58:08,1364937729792827396
not jarchie getting hatecrimed at the end,False,en,1,0,2021-02-25 13:19:02,1364927890853228546
did they just...parallel jarchie with kangs..,False,en,0,0,2021-02-25 13:04:16,1364924174452449285
damn we opening this riverdale episode with full-on domestic jarchie,False,en,0,0,2021-02-25 13:03:26,1364923961658601473
i stopped caring about riverdale after season 2 but goddamn barchie in the latest episodes almost made me BARF... jarchie when...,False,en,0,0,2021-02-25 13:02:22,1364923693621776388
"okay that’s my serotonin over for another week, domestic jarchie highlight of my life",False,en,1,0,2021-02-25 12:57:12,1364922393278492676
NOT JUGHEAD CALLING ARCHIE SWEET PRINCE JARCHIE ROOMMATES RISE,False,en,3,0,2021-02-25 12:15:02,1364911782851182592
RT @srsoto26: I wanted Jarchie roommates so bad if the fire ruins it.... 😭 #Riverdale,True,en,0,4,2021-02-25 10:28:34,1364884991033933830
Why do you like jarchie all of the sudden but still don’t ship barchie? Both are childhood friends but atleast ba… — idk what u mean by this but it feels phobic  https://t.co/vK3iiBDZaQ,False,en,1,0,2021-02-25 10:17:59,1364882324178018305
RT @nymonologue: why the cut from jarchie to kangs https://t.co/CdPggasrmy,False,en,0,2,2021-02-25 10:06:49,1364879517534330880
every single thing about jughead and archie living together is so delightful... jarchie marchie on its way,False,en,2,0,2021-02-25 09:56:51,1364877008187105281
starts of w jarchie YES,False,en,0,0,2021-02-25 08:02:31,1364848234666074115
jarchie longconners we have more of your favorite juice in the timkon fandom,False,en,1,0,2021-02-25 07:39:25,1364842423382253570
@Neil_McNeil jarchie-my-sweet-prince.gif,False,en,3,0,2021-02-25 07:34:18,1364841134665703424
@speliviaa They are so stale their friendship isn’t been real my girl betty doesn’t care for veronica also where are the beronica scenes time jump I see none only jarchie,False,en,0,0,2021-02-25 06:53:39,1364830902228901891
@bugvarchieanti @archietonis JARCHIE IS BETTER!,False,en,1,0,2021-02-25 06:47:53,1364829452140613633
why the cut from jarchie to kangs https://t.co/CdPggasrmy,False,en,15,2,2021-02-25 06:25:17,1364823766891524096
the jarchie crumbs this episode https://t.co/DVnZu2trUu,False,en,3,0,2021-02-25 06:21:56,1364822923085836289
@bugverchoni dragging jarchie into this and For What,False,en,2,0,2021-02-25 06:20:59,1364822682953420805
bruh my tweets wont sent on mobile... im being censored by the anti jarchie army,False,en,2,0,2021-02-25 05:06:54,1364804040794796034
we finally got jarchie playing house husbands and hirams home of phobic arse had to ruin it https://t.co/qFG3OORaaP,False,en,2,0,2021-02-25 04:50:29,1364799908679610370
There were so many fanfic worthy jarchie scenes this episode,False,en,72,0,2021-02-25 04:39:01,1364797021660590082
"RT @RiverdaleDark: #Jarchie friendship, you love to see it",False,en,0,8,2021-02-25 04:36:50,1364796471954919424
@RiverdaleWriter Jarchie friends to lovers~,False,en,2,0,2021-02-25 04:14:40,1364790893027487747
the levels to this where it was “archie do you want more” [GAY COUPLE] and also fangs looking at kevin like “well...maybe there is something more im searching for” swangs and jarchie endgame  https://t.co/WScqWAlDvO,False,en,9,0,2021-02-25 04:04:23,1364788305754259466
david posting on riverdale day is proof of the jarchie to diego longcon,False,en,4,0,2021-02-25 03:43:23,1364783022416015361
@nymonologue JARCHIE AFTERLIFE ENDGAME????,False,en,3,0,2021-02-25 03:35:39,1364781075969564672
@RiverdaleWriter I don’t think the Jarchie friendship will survive this storyline,False,en,12,0,2021-02-25 03:29:34,1364779543828004865
@cherubliv @riverindale when i make jarchie wonderwall then you’ll all see....,False,en,2,0,2021-02-25 03:25:49,1364778601820934144
@srsoto26 how do you feel  about  us not seeing beronica hang out or even talk 1 on 1 yet ?  and do u think jarchie having this some what of bro moments is just to make the big blow up even worse ?,False,en,0,0,2021-02-25 03:17:11,1364776428634599426
I wanted Jarchie roommates so bad if the fire ruins it.... 😭 #Riverdale https://t.co/1cESTD552h,True,en,171,4,2021-02-25 03:11:21,1364774958686220288
#Jarchie friendship YES https://t.co/BNn1xQqJko,True,en,9,2,2021-02-25 03:02:04,1364772622203031552
@riverindale jarchie supremacy,False,en,3,0,2021-02-25 02:51:47,1364770037945364483
@barchiejarchie @nymonologue here’s how jarchie can still win,False,en,2,0,2021-02-25 02:51:20,1364769924112089090
When jughead and archie die in the fire and jarchie gets afterlife endgame then what,False,en,50,3,2021-02-25 02:50:47,1364769782994784258
@RiverdaleWriter you guys better fix my jarchie boys 🥺❤,False,en,5,0,2021-02-25 02:47:51,1364769045107650560
RT @ismsandsundry: im so used to erin screaming abt jarchie longcon i was genuinely shocked to see bughead has the vAST majority of fics on…,False,en,0,1,2021-02-25 02:27:09,1364763838692921345
im so used to erin screaming abt jarchie longcon i was genuinely shocked to see bughead has the vAST majority of fics on ao3,False,en,7,1,2021-02-25 02:26:07,1364763577639448577
i just want people to be nice to cheryl and for jarchie to have more hanging out and being pals scenes????,False,en,0,0,2021-02-25 02:23:03,1364762805212237830
jarchie roommates lasted a total of 1 episode this is so sad,False,en,56,3,2021-02-25 02:21:02,1364762298729062406
@modrrngrrl NOO AND MIA I HAVE MIA TOO.  CARING ABOUT JARCHIE DOES NOT COUNT AS BEINF TOO SERIOUS BTW,False,en,2,0,2021-02-25 02:18:50,1364761745621803011
@NICKR0B sorry i am not funny and care deeply about jarchie :(((,False,en,2,0,2021-02-25 02:16:49,1364761234566832128
RT @nymonologue: that was in juvie while archie was on his own so that means jarchie have discussed archie’s time in juvie god this is so i…,False,en,0,1,2021-02-25 02:09:52,1364759487509323776
